id,chain,region
Act-d-10,A,F
Act-d-1,A,F
Act-d-2,A,F
Act-d-8,A,F
Aes-h-1,A,F
Aln-g-1,A,F
Aln-g-4,A,F
Alt-a-1,A,F
Alt-a-6,A,F
Amb-a-1,A,F
Amb-a-4,A,F
Amb-a-6,A,F
Ana-o-1,A,F
Ana-o-2,A,F
Ana-o-3,A,F
Ani-s-1,A,F
Ani-s-3,A,F
Api-g-1,A,F
Api-g-2,A,F
Api-g-6,A,F
Api-m-1,A,F
Api-m-2,A,F
Api-m-3,A,F
Api-m-5,A,F
Ara-h-15,A,F
Ara-h-1,A,F
Ara-h-2,A,F
Ara-h-3,A,F
Ara-h-5,A,F
Ara-h-6,A,F
Ara-h-8,A,F
Ara-h-9,A,F
Art-v-1,A,F
Art-v-3,A,F
Art-v-4,A,F
Art-v-6,A,F
Asc-l-3,A,F
Asp-f-1,A,F
Asp-f-3,A,F
Asp-f-4,A,F
Ber-e-1,A,F
Bet-v-1,A,F
Bet-v-2,A,F
Bet-v-4,A,F
Bet-v-6,A,F
Bla-g-2,A,F
Bla-g-5,A,F
Bla-g-7,A,F
Blo-t-10,A,F
Blo-t-12,A,F
Blo-t-8,A,F
Bomb-m-1,A,F
Bomb-m-3,A,F
Bos-d-2,A,F
Bos-d-4,A,F
Bos-d-5,A,F
Bos-d-6,A,F
Can-f-1,A,F
Can-f-2,A,F
Can-f-3,A,F
Can-f-4,A,F
Can-f-6,A,F
Can-s-3,A,F
Car-i-1,A,F
Cav-p-1,A,F
Cav-p-2,A,F
Cav-p-4,A,F
Cav-p-6,A,F
Cha-f-1,A,F
Che-a-1,A,F
Cit-s-7,A,F
Cla-h-8,A,F
Clu-h-1,A,F
Cor-a-14,A,F
Cor-a-1,A,F
Cor-a-8,A,F
Cor-a-9,A,F
Cra-g-1,A,F
Cro-p-1,A,F
Cry-j-1,A,F
Cup-a-1,A,F
Cup-s-7,A,F
Cyn-d-1,A,F
Cyp-c-1,A,F
Dau-c-1,A,F
Der-f-10,A,F
Der-f-1,A,F
Der-f-20,A,F
Der-f-2,A,F
Der-f-8,A,F
Der-p-10,A,F
Der-p-1,A,F
Der-p-20,A,F
Der-p-2,A,F
Der-p-8,A,F
Equ-c-1,A,F
Equ-c-3,A,F
Fag-e-2,A,F
Fag-s-1,A,F
Fel-d-2,A,F
Fel-d-4,A,F
Fel-d-7,A,F
Gad-c-1,A,F
Gad-m-1,A,F
Gal-d-1,A,F
Gal-d-2,A,F
Gal-d-3,A,F
Gal-d-5,A,F
Gal-d-8,A,F
Gly-m-4,A,F
Gly-m-5,A,F
Gly-m-6,A,F
Hel-a-6,A,F
Hel-as-1,A,F
Hev-b-8,A,F
Hom-a-1,A,F
Jug-r-1,A,F
Jug-r-3,A,F
Jug-r-4,A,F
Lep-w-1,A,F
Lit-v-1,A,F
Lol-p-1,A,F
Lup-an-1,A,F
Mal-d-1,A,F
Mal-d-3,A,F
Mer-a-1,A,F
Mes-a-1,A,F
Met-e-1,A,F
Mus-m-1,A,F
Oct-v-1,A,F
Ole-e-1,A,F
Ole-e-7,A,F
Ole-e-9,A,F
Ory-c-3,A,F
Ory-c-4,A,F
Pan-s-1,A,F
Par-h-1,A,F
Par-j-2,A,F
Pen-a-1,A,F
Pen-m-1,A,F
Pen-m-2,A,F
Per-a-1,A,F
Phl-p-11,A,F
Phl-p-12,A,F
Phl-p-1,A,F
Phl-p-2,A,F
Phl-p-5,A,F
Phl-p-6,A,F
Phl-p-7,A,F
Pho-d-2,A,F
Phod-s-1,A,F
Pis-s-1,A,F
Pis-v-1,A,F
Pis-v-3,A,F
Pla-a-1,A,F
Pla-a-2,A,F
Pla-l-1,A,F
Pol-d-1,A,F
Pol-d-5,A,F
Pru-av-3,A,F
Pru-p-1,A,F
Pru-p-3,A,F
Pru-p-4,A,F
Pru-p-7,A,F
Ran-e-2,A,F
Rat-n-1,A,F
Sal-k-5,A,F
Sal-s-1,A,F
Sal-s-2,A,F
Sal-s-3,A,F
Sco-s-1,A,F
Scy-p-1,A,F
Sola-l-6,A,F
Sus-s-1,A,F
Thu-a-1,A,F
Tri-a-14,A,F
Tri-a-19,A,F
Ves-v-1,A,F
Ves-v-3,A,F
Ves-v-5,A,F
Vit-v-1,A,F
Zea-m-14,A,F
