id,chain,file
Act-d-10,A,Act-d-10.pdb
Act-d-1,A,Act-d-1.pdb
Act-d-2,A,Act-d-2.pdb
Act-d-8,A,Act-d-8.pdb
Aes-h-1,A,Aes-h-1.pdb
Aln-g-1,A,Aln-g-1.pdb
Aln-g-4,A,Aln-g-4.pdb
Alt-a-1,A,Alt-a-1.pdb
Alt-a-6,A,Alt-a-6.pdb
Amb-a-1,A,Amb-a-1.pdb
Amb-a-4,A,Amb-a-4.pdb
Amb-a-6,A,Amb-a-6.pdb
Ana-o-1,A,Ana-o-1.pdb
Ana-o-2,A,Ana-o-2.pdb
Ana-o-3,A,Ana-o-3.pdb
Ani-s-1,A,Ani-s-1.pdb
Ani-s-3,A,Ani-s-3.pdb
Api-g-1,A,Api-g-1.pdb
Api-g-2,A,Api-g-2.pdb
Api-g-6,A,Api-g-6.pdb
Api-m-1,A,Api-m-1.pdb
Api-m-2,A,Api-m-2.pdb
Api-m-3,A,Api-m-3.pdb
Api-m-5,A,Api-m-5.pdb
Ara-h-15,A,Ara-h-15.pdb
Ara-h-1,A,Ara-h-1.pdb
Ara-h-2,A,Ara-h-2.pdb
Ara-h-3,A,Ara-h-3.pdb
Ara-h-5,A,Ara-h-5.pdb
Ara-h-6,A,Ara-h-6.pdb
Ara-h-8,A,Ara-h-8.pdb
Ara-h-9,A,Ara-h-9.pdb
Art-v-1,A,Art-v-1.pdb
Art-v-3,A,Art-v-3.pdb
Art-v-4,A,Art-v-4.pdb
Art-v-6,A,Art-v-6.pdb
Asc-l-3,A,Asc-l-3.pdb
Asp-f-1,A,Asp-f-1.pdb
Asp-f-3,A,Asp-f-3.pdb
Asp-f-4,A,Asp-f-4.pdb
Ber-e-1,A,Ber-e-1.pdb
Bet-v-1,A,Bet-v-1.pdb
Bet-v-2,A,Bet-v-2.pdb
Bet-v-4,A,Bet-v-4.pdb
Bet-v-6,A,Bet-v-6.pdb
Bla-g-2,A,Bla-g-2.pdb
Bla-g-5,A,Bla-g-5.pdb
Bla-g-7,A,Bla-g-7.pdb
Blo-t-10,A,Blo-t-10.pdb
Blo-t-12,A,Blo-t-12.pdb
Blo-t-8,A,Blo-t-8.pdb
Bomb-m-1,A,Bomb-m-1.pdb
Bomb-m-3,A,Bomb-m-3.pdb
Bos-d-2,A,Bos-d-2.pdb
Bos-d-4,A,Bos-d-4.pdb
Bos-d-5,A,Bos-d-5.pdb
Bos-d-6,A,Bos-d-6.pdb
Can-f-1,A,Can-f-1.pdb
Can-f-2,A,Can-f-2.pdb
Can-f-3,A,Can-f-3.pdb
Can-f-4,A,Can-f-4.pdb
Can-f-6,A,Can-f-6.pdb
Can-s-3,A,Can-s-3.pdb
Car-i-1,A,Car-i-1.pdb
Cav-p-1,A,Cav-p-1.pdb
Cav-p-2,A,Cav-p-2.pdb
Cav-p-4,A,Cav-p-4.pdb
Cav-p-6,A,Cav-p-6.pdb
Cha-f-1,A,Cha-f-1.pdb
Che-a-1,A,Che-a-1.pdb
Cit-s-7,A,Cit-s-7.pdb
Cla-h-8,A,Cla-h-8.pdb
Clu-h-1,A,Clu-h-1.pdb
Cor-a-14,A,Cor-a-14.pdb
Cor-a-1,A,Cor-a-1.pdb
Cor-a-8,A,Cor-a-8.pdb
Cor-a-9,A,Cor-a-9.pdb
Cra-g-1,A,Cra-g-1.pdb
Cro-p-1,A,Cro-p-1.pdb
Cry-j-1,A,Cry-j-1.pdb
Cup-a-1,A,Cup-a-1.pdb
Cup-s-7,A,Cup-s-7.pdb
Cyn-d-1,A,Cyn-d-1.pdb
Cyp-c-1,A,Cyp-c-1.pdb
Dau-c-1,A,Dau-c-1.pdb
Der-f-10,A,Der-f-10.pdb
Der-f-1,A,Der-f-1.pdb
Der-f-20,A,Der-f-20.pdb
Der-f-2,A,Der-f-2.pdb
Der-f-8,A,Der-f-8.pdb
Der-p-10,A,Der-p-10.pdb
Der-p-1,A,Der-p-1.pdb
Der-p-20,A,Der-p-20.pdb
Der-p-2,A,Der-p-2.pdb
Der-p-8,A,Der-p-8.pdb
Equ-c-1,A,Equ-c-1.pdb
Equ-c-3,A,Equ-c-3.pdb
Fag-e-2,A,Fag-e-2.pdb
Fag-s-1,A,Fag-s-1.pdb
Fel-d-2,A,Fel-d-2.pdb
Fel-d-4,A,Fel-d-4.pdb
Fel-d-7,A,Fel-d-7.pdb
Gad-c-1,A,Gad-c-1.pdb
Gad-m-1,A,Gad-m-1.pdb
Gal-d-1,A,Gal-d-1.pdb
Gal-d-2,A,Gal-d-2.pdb
Gal-d-3,A,Gal-d-3.pdb
Gal-d-5,A,Gal-d-5.pdb
Gal-d-8,A,Gal-d-8.pdb
Gly-m-4,A,Gly-m-4.pdb
Gly-m-5,A,Gly-m-5.pdb
Gly-m-6,A,Gly-m-6.pdb
Hel-a-6,A,Hel-a-6.pdb
Hel-as-1,A,Hel-as-1.pdb
Hev-b-8,A,Hev-b-8.pdb
Hom-a-1,A,Hom-a-1.pdb
Jug-r-1,A,Jug-r-1.pdb
Jug-r-3,A,Jug-r-3.pdb
Jug-r-4,A,Jug-r-4.pdb
Lep-w-1,A,Lep-w-1.pdb
Lit-v-1,A,Lit-v-1.pdb
Lol-p-1,A,Lol-p-1.pdb
Lup-an-1,A,Lup-an-1.pdb
Mal-d-1,A,Mal-d-1.pdb
Mal-d-3,A,Mal-d-3.pdb
Mer-a-1,A,Mer-a-1.pdb
Mes-a-1,A,Mes-a-1.pdb
Met-e-1,A,Met-e-1.pdb
Mus-m-1,A,Mus-m-1.pdb
Oct-v-1,A,Oct-v-1.pdb
Ole-e-1,A,Ole-e-1.pdb
Ole-e-7,A,Ole-e-7.pdb
Ole-e-9,A,Ole-e-9.pdb
Ory-c-3,A,Ory-c-3.pdb
Ory-c-4,A,Ory-c-4.pdb
Pan-s-1,A,Pan-s-1.pdb
Par-h-1,A,Par-h-1.pdb
Par-j-2,A,Par-j-2.pdb
Pen-a-1,A,Pen-a-1.pdb
Pen-m-1,A,Pen-m-1.pdb
Pen-m-2,A,Pen-m-2.pdb
Per-a-1,A,Per-a-1.pdb
Phl-p-11,A,Phl-p-11.pdb
Phl-p-12,A,Phl-p-12.pdb
Phl-p-1,A,Phl-p-1.pdb
Phl-p-2,A,Phl-p-2.pdb
Phl-p-5,A,Phl-p-5.pdb
Phl-p-6,A,Phl-p-6.pdb
Phl-p-7,A,Phl-p-7.pdb
Pho-d-2,A,Pho-d-2.pdb
Phod-s-1,A,Phod-s-1.pdb
Pis-s-1,A,Pis-s-1.pdb
Pis-v-1,A,Pis-v-1.pdb
Pis-v-3,A,Pis-v-3.pdb
Pla-a-1,A,Pla-a-1.pdb
Pla-a-2,A,Pla-a-2.pdb
Pla-l-1,A,Pla-l-1.pdb
Pol-d-1,A,Pol-d-1.pdb
Pol-d-5,A,Pol-d-5.pdb
Pru-av-3,A,Pru-av-3.pdb
Pru-p-1,A,Pru-p-1.pdb
Pru-p-3,A,Pru-p-3.pdb
Pru-p-4,A,Pru-p-4.pdb
Pru-p-7,A,Pru-p-7.pdb
Ran-e-2,A,Ran-e-2.pdb
Rat-n-1,A,Rat-n-1.pdb
Sal-k-5,A,Sal-k-5.pdb
Sal-s-1,A,Sal-s-1.pdb
Sal-s-2,A,Sal-s-2.pdb
Sal-s-3,A,Sal-s-3.pdb
Sco-s-1,A,Sco-s-1.pdb
Scy-p-1,A,Scy-p-1.pdb
Sola-l-6,A,Sola-l-6.pdb
Sus-s-1,A,Sus-s-1.pdb
Thu-a-1,A,Thu-a-1.pdb
Tri-a-14,A,Tri-a-14.pdb
Tri-a-19,A,Tri-a-19.pdb
Ves-v-1,A,Ves-v-1.pdb
Ves-v-3,A,Ves-v-3.pdb
Ves-v-5,A,Ves-v-5.pdb
Vit-v-1,A,Vit-v-1.pdb
Zea-m-14,A,Zea-m-14.pdb
