id,chain,file
Cit-s-7,A,A0A067GPB8_Cit s 7.pdb
Par-h-1,A,A0A0X9C7K4_Par h 1.pdb
Hel-a-6,A,A0A251RNJ1_Hel a 6.pdb
Sola-l-6,A,A0A3Q7F7X3_Sola l 6.pdb
Cav-p-1,A,A0A484HM70_Cav p 1.pdb
Cro-p-1,A,A0A7M4EAX1_Cro p 1.pdb
Art-v-6,A,A0PJ16_Art v 6.pdb
Pen-m-1,A,A1KYZ2_Pen m 1.pdb
Act-d-1,A,A5HII1_Act d 1.pdb
Scy-p-1,A,A7L5V2_Scy p 1.pdb
Blo-t-10,A,A7XZI4_Blo t 10.pdb
Der-f-20,A,A7XZJ2_Der f 20.pdb
Ves-v-3,A,B1A4F7_Ves v 3.pdb
Api-m-5,A,B2D0J4_Api m 5.pdb
Der-p-20,A,B2ZSY4_Der p 20.pdb
Pis-v-3,A,B4X640_Pis v 3.pdb
Lit-v-1,A,B4YAH6_Lit v 1.pdb
Sal-s-3,A,B5DGM7_Sal s 3.pdb
Sal-s-2,A,B5DGQ7_Sal s 2.pdb
Lep-w-1,A,B5WX08_Lep w 1.pdb
Ara-h-9,A,B6CEX8_Ara h 9.pdb
Pis-v-1,A,B7P072_Pis v 1.pdb
Fag-s-1,A,B7TWE6_Fag s 1.pdb
Cra-g-1,A,B7XC66_Cra g 1.pdb
Lup-an-1,A,B8Q5G0_Lup an 1.pdb
Cup-s-7,A,C0HLL6_Cup s 7.pdb
Asc-l-3,A,C0L3K2_Asc l 3.pdb
Gal-d-8,A,C1L370_Gal d 8.pdb
Art-v-3,A,C4MGG9_Art v 3.pdb
Jug-r-3,A,C5H617_Jug r 3.pdb
Thu-a-1,A,C6GKU3_Thu a 1.pdb
Clu-h-1,A,C6GKU6_Clu h 1.pdb
Pen-m-2,A,C7E3T4_Pen m 2.pdb
Blo-t-8,A,C8CGT7_Blo t 8.pdb
Cor-a-14,A,D0PWG2_Cor a 14.pdb
Act-d-8,A,D1YSM5_Act d 8.pdb
Sco-s-1,A,D3GME4_Sco s 1.pdb
Amb-a-4,A,D4IHC0_Amb a 4.pdb
Can-f-4,A,D7PBH4_Can f 4.pdb
Sal-k-5,A,E2D0Z0_Sal k 5.pdb
Fel-d-7,A,E5D2Z5_Fel d 7.pdb
Api-g-2,A,E6Y8S8_Api g 2.pdb
Can-f-6,A,H2B3G5_Can f 6.pdb
Amb-a-6,A,O04004_Amb a 6.pdb
Dau-c-1,A,O04298_Dau c 1.pdb
Cyn-d-1,A,O04701_Cyn d 1.pdb
Der-p-10,A,O18416_Der p 10.pdb
Per-a-1,A,O18528_Per a 1.pdb
Bla-g-5,A,O18598_Bla g 5.pdb
Can-f-1,A,O18873_Can f 1.pdb
Can-f-2,A,O18874_Can f 2.pdb
Asp-f-3,A,O43099_Asp f 3.pdb
Hom-a-1,A,O44119_Hom a 1.pdb
Mer-a-1,A,O49894_Mer a 1.pdb
Asp-f-4,A,O60024_Asp f 4.pdb
Pan-s-1,A,O61379_Pan s 1.pdb
Aln-g-4,A,O81701_Aln g 4.pdb
Phl-p-7,A,O82040_Phl p 7.pdb
